h,factor,decile,mean_fwd_ret,excess_ret,n,median_mcap,median_talent,median_energy
5,talent,1,-0.006753310205610781,-0.0070998995631760126,20.0,3872498676525.7163,0.005244252873563218,2.194767765530177
5,talent,2,0.003240011166966452,0.00289342180940122,20.0,15072001882681.193,0.003352490421455939,0.9439021762207824
5,talent,3,0.0007306882110550789,0.00038409885348984676,20.0,7047271064577.996,0.006058429118773946,1.127476916124823
5,talent,4,0.00055909105089229,0.00021250169332705747,20.0,4506501524239.844,0.015349616858237549,2.2548225663471424
5,talent,5,0.0037674044023594476,0.0034208150447942146,20.0,4046417431970.293,0.020689655172413793,2.833065612945376
5,talent,6,0.0026798450705718528,0.0023332557130066205,20.0,2516673426911.422,0.02693965517241379,3.4551027765653433
5,talent,7,-0.0004060745682401655,-0.0007526639258053975,20.0,1998348029834.0898,0.03189655172413793,3.4197925665762012
5,talent,8,0.002572794864150244,0.0022262055065850116,20.0,1678035877774.9487,0.04030172413793104,4.358005377604544
5,talent,9,-0.0014113805917676354,-0.0017579699493328674,20.0,1139521154666.6255,0.056130268199233724,5.4228637680406875
5,talent,10,-0.0015131758247244637,-0.001859765182289696,20.0,864699031016.8833,0.08318965517241379,7.303143387649018
20,에너지배율,1,0.006373921869163079,0.003351703742189625,20.0,10386849431236.87,0.010087719298245614,0.3078861206089676
20,에너지배율,2,0.012285750274149248,0.009263532147175792,20.0,7479154391889.949,0.01135477582846004,0.5362820296534847
20,에너지배율,3,0.01653863912322842,0.01351642099625497,20.0,5370706227626.085,0.014522417153996102,0.8275320575663402
20,에너지배율,4,0.011609098053925218,0.008586879926951766,20.0,4181771778595.2896,0.017373294346978558,1.2569048969706442
20,에너지배율,5,0.006073143019655627,0.003050924892682173,20.0,3065452357232.265,0.019809941520467837,1.9251645374081283
20,에너지배율,6,0.010229490407772768,0.007207272280799314,20.0,2244942391194.9165,0.022685185185185187,2.995240191480165
20,에너지배율,7,0.003666051595264617,0.0006438334682911635,20.0,1741036882486.1418,0.024951267056530214,4.845010653987109
20,에너지배율,8,-0.0008560059278817047,-0.0038782240548551586,20.0,1196418679184.2808,0.027607212475633528,8.331651584129155
20,에너지배율,9,-0.010202690133942437,-0.013224908260915892,20.0,638593330119.7615,0.031164717348927874,16.825836421196442
20,에너지배율,10,-0.025495217011600298,-0.028517435138573754,20.0,225815442023.39023,0.0341374269005848,47.1063262138965
20,RS,1,0.0012705365973036712,-0.0017516815296697835,20.0,4389948422005.4688,0.010282651072124756,0.9253889307836175
20,RS,2,-0.01539653182348602,-0.018418749950459473,20.0,2972688336985.8394,0.012305068226120857,1.6801050387063985
20,RS,3,-0.012227601311425097,-0.01524981943839855,20.0,2428814982161.9775,0.014814814814814814,2.1003582869140285
20,RS,4,0.004164237987297748,0.0011420198603242953,20.0,2477500530795.143,0.01817738791423002,1.8443639634051199
20,RS,5,0.00523597636664523,0.002213758239671775,20.0,2273800477060.1357,0.019200779727095517,1.9990765738059368
20,RS,6,0.003140034901897998,0.00011781677492454409,20.0,2185604551388.8567,0.020321637426900584,2.2454376585825595
20,RS,7,0.010285566540296597,0.007263348413323142,20.0,2184546691431.2212,0.02324561403508772,2.526459109713159
20,RS,8,0.008340980127004788,0.0053187620000313355,20.0,1804050360465.7383,0.02797270955165692,3.2665384443226495
20,RS,9,0.006610454269726272,0.0035882361427528185,20.0,1744125381159.4844,0.03279727095516569,4.443333377459238
20,RS,10,0.018798527614473357,0.015776309487499904,20.0,1458893170496.326,0.05043859649122807,8.32372782524535
20,주가위치,1,0.004859459486117367,0.0018372413591439133,20.0,4427475978022.286,0.010769980506822614,0.8434673369776174
20,주가위치,2,0.005901951326532416,0.0028797331995589624,20.0,3371928497428.1733,0.017592592592592594,1.1934580060138045
20,주가위치,3,-0.00465712650269879,-0.007679344629672244,20.0,2539070554869.182,0.021539961013645227,1.86906233416436
20,주가위치,4,-0.003089037426490549,-0.006111255553464002,20.0,2299564789721.8174,0.022344054580896687,2.087333972532547
20,주가위치,5,-0.02130934718837026,-0.024331565315343712,20.0,1298687362335.019,0.02324561403508772,5.651471129983484
20,주가위치,6,-0.0007713841710929686,-0.003793602298066422,20.0,837462609519.6619,0.02648635477582846,3.770218250012193
20,주가위치,7,0.006448668786001863,0.0034264506590284097,20.0,2060062178652.916,0.026242690058479533,3.2586991506592806
20,주가위치,8,0.005668776725760718,0.002646558598787265,20.0,2110102144949.0557,0.024610136452241714,3.9318890976712884
