h,factor,meanIC_raw,IC_IR_raw,n_obs_raw,meanIC_size_neutral,IC_IR_size_neutral,n_obs_size_neutral,delta_meanIC,is_investor_factor,sample_note
20,flow_1000,0.004651405958771789,0.06554490413083473,51,-0.0016025598696695136,-0.023548979205765895,51,-0.006253965828441303,True,investor data from 2025-07-07; n_obs differs from full-history factors
20,flow_3000,-0.017894345988676386,-0.314289157048094,51,-0.014725322413399387,-0.25154972815677346,51,0.0031690235752769996,True,investor data from 2025-07-07; n_obs differs from full-history factors
20,flow_3100,0.007089535551009876,0.12212105922393071,51,0.010679929015872726,0.19411563755851857,51,0.0035903934648628504,True,investor data from 2025-07-07; n_obs differs from full-history factors
20,flow_6000,-0.02416499408500404,-0.3693379792287493,51,-0.02341881010784053,-0.3642449351164808,51,0.0007461839771635108,True,investor data from 2025-07-07; n_obs differs from full-history factors
20,flow_7050,-0.01761647649599684,-0.30508135966561023,51,-0.01755241811324974,-0.2958736229116684,51,6.405838274710016e-05,True,investor data from 2025-07-07; n_obs differs from full-history factors
20,flow_8000,0.006304820626388207,0.10360493285906608,51,0.007093696607063238,0.11701461208472413,51,0.0007888759806750313,True,investor data from 2025-07-07; n_obs differs from full-history factors
20,flow_foreign,0.008086224345205962,0.12226663165912739,51,0.00743573069380947,0.11061655764746038,51,-0.0006504936513964926,True,investor data from 2025-07-07; n_obs differs from full-history factors
20,rev5,0.0029340850423655858,0.03159853921354952,171,0.005942950895112729,0.06407941562494239,171,0.0030088658527471436,False,full-history factor
20,talent,-0.08912363533725554,-0.5963841655956151,171,-0.09261059385503308,-0.6262949451913649,171,-0.0034869585177775414,False,full-history factor
20,tv5_turn,-0.06329837184593028,-0.3979681965052871,171,-0.06837654712273199,-0.41765739922470296,171,-0.005078175276801711,False,full-history factor
20,주가위치,-0.003391750846936814,-0.02628057259585032,171,-0.011444791631868817,-0.0889031644962304,171,-0.008053040784932002,False,full-history factor
