h,kind,type,rank,wf_step,w_에너지배율,w_RS,w_주가위치,w_talent,weights,meanIC,IC_IR,n_obs,note
1,short1,wf_step,2,2,0.0,1.0,0.0,0.0,에너지배율=0.0 / RS=1.0 / 주가위치=0.0 / talent=0.0,0.01752179111948772,0.09393165763394293,35,train=2023-01-17~2024-06-17; test=2024-06-24~2025-03-10; train meanIC 최대
1,short1,wf_step,3,3,0.0,1.0,0.0,0.0,에너지배율=0.0 / RS=1.0 / 주가위치=0.0 / talent=0.0,0.036100112100563776,0.20945945840647368,35,train=2023-01-17~2025-03-10; test=2025-03-17~2025-11-25; train meanIC 최대
1,short1,wf_step,4,4,0.0,1.0,0.0,0.0,에너지배율=0.0 / RS=1.0 / 주가위치=0.0 / talent=0.0,-0.02938891850785373,-0.1827609898237825,35,train=2023-01-17~2025-11-25; test=2025-12-02~2026-08-13; train meanIC 최대
5,short,best,1,0,0.0,0.0,1.0,0.0,에너지배율=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,-0.011843213812800303,-0.08721285978807733,174,"전구간 meanIC 최대 추천; WF test meanIC=-0.0163±0.0185; 선정 가중 안정성 에너지배율=0.00±0.00, RS=0.00±0.00, 주가위치=1.00±0.00, talent=0.00±0.00; WEIGHT_SETS 미변경"
5,short,baseline,0,0,0.2,0.2,0.4,0.2,에너지배율=0.2 / RS=0.2 / 주가위치=0.4 / talent=0.2,-0.03732700852762846,-0.26001416069077127,174,현재 WEIGHT_SETS['short']
5,short,is_top5,1,0,0.0,0.0,1.0,0.0,에너지배율=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,-0.011843213812800303,-0.08721285978807733,174,전구간 meanIC 상위5(과최적 판단용)
5,short,is_top5,2,0,0.0,0.1,0.9,0.0,에너지배율=0.0 / RS=0.1 / 주가위치=0.9 / talent=0.0,-0.012331767670160934,-0.08932978370601921,174,전구간 meanIC 상위5(과최적 판단용)
5,short,is_top5,3,0,0.0,0.2,0.8,0.0,에너지배율=0.0 / RS=0.2 / 주가위치=0.8 / talent=0.0,-0.012770463269022514,-0.09119841021958383,174,전구간 meanIC 상위5(과최적 판단용)
5,short,is_top5,4,0,0.0,0.3,0.7,0.0,에너지배율=0.0 / RS=0.3 / 주가위치=0.7 / talent=0.0,-0.013260955566328857,-0.09345736496274044,174,전구간 meanIC 상위5(과최적 판단용)
5,short,is_top5,5,0,0.0,0.4,0.6,0.0,에너지배율=0.0 / RS=0.4 / 주가위치=0.6 / talent=0.0,-0.013768433688773557,-0.09603716527807696,174,전구간 meanIC 상위5(과최적 판단용)
5,short,wf_step,1,1,0.0,0.0,1.0,0.0,에너지배율=0.0 / RS=0.0 / 주가위치=1.0 / talent=0.0,-0.019319289449288516,-0.15968772395852765,35,train=2023-01-17~2023-09-22; test=2023-10-05~2024-06-17; train meanIC 최대
