h,factor,mcap_bucket,quintile,mean_fwd_ret,excess_vs_bucket,n
20,talent,mid,5,-0.0023595045916806234,-0.01490611396834665,14.0
20,talent,large,1,0.019353052659346094,-0.0008658225651466063,13.0
20,talent,large,2,0.0118857431283942,-0.0083331320960985,13.0
20,talent,large,3,0.023268000163062106,0.0030491249385694074,14.0
20,talent,large,4,0.02445082950534899,0.00423195428085629,13.0
20,talent,large,5,0.021781964924855766,0.001563089700363065,14.0
50,에너지배율,small,1,-0.0184680991404294,0.006445855421907068,13.0
50,에너지배율,small,2,-0.02351016662521862,0.0014037879371178478,13.0
50,에너지배율,small,3,-0.051773490548702526,-0.026859535986366062,13.0
50,에너지배율,small,4,-0.04408936694478299,-0.019175412382446525,13.0
50,에너지배율,small,5,0.010543828661037778,0.03545778322337424,14.0
50,에너지배율,mid,1,0.0269774399820019,-0.012241586803847846,13.0
50,에너지배율,mid,2,0.04025668018134836,0.0010376533954986173,13.0
50,에너지배율,mid,3,0.04474358610920778,0.005524559323358028,14.0
50,에너지배율,mid,4,0.057251197463088405,0.018032170677238658,13.0
50,에너지배율,mid,5,0.027353961427094384,-0.011865065358755362,14.0
50,에너지배율,large,1,0.04142537157651482,-0.016743468805763093,13.0
50,에너지배율,large,2,0.04519742758760721,-0.012971412794670689,13.0
50,에너지배율,large,3,0.05465671542426334,-0.003512124958014569,14.0
50,에너지배율,large,4,0.058630406614865294,0.0004615662325873892,13.0
50,에너지배율,large,5,0.08884475818186413,0.030675917799586217,14.0
50,RS,small,1,-0.05245798399615413,-0.027544029433817667,13.0
50,RS,small,2,-0.0493646192920232,-0.024450664729686735,13.0
50,RS,small,3,-0.002391983084654816,0.022521971477681646,13.0
50,RS,small,4,-0.012934230382938885,0.01197972417939758,13.0
50,RS,small,5,-0.008670455949227381,0.016243498613109083,14.0
50,RS,mid,1,-0.0012862445442241768,-0.04050527133007392,13.0
50,RS,mid,2,0.03164311798920008,-0.00757590879664966,13.0
50,RS,mid,3,0.05552915502899391,0.016310128243144158,14.0
50,RS,mid,4,0.06673504451583165,0.0275160177299819,13.0
50,RS,mid,5,0.04200512076825143,0.0027860939824016864,14.0
50,RS,large,1,0.012799408283567352,-0.045369432098710555,13.0
50,RS,large,2,0.039776713067685945,-0.018392127314591954,13.0
50,RS,large,3,0.051020311450773216,-0.007148528931504691,14.0
50,RS,large,4,0.0767359153893987,0.01856707500712079,13.0
50,RS,large,5,0.10728367626237989,0.049114835880101994,14.0
50,주가위치,small,1,-0.009848167085857062,0.015065787476479402,13.0
50,주가위치,small,2,-0.04472964249761946,-0.019815687935282992,13.0
50,주가위치,small,3,-0.03373456216882668,-0.008820607606490213,13.0
50,주가위치,small,4,-0.03942311667869571,-0.014509162116359248,13.0
50,주가위치,small,5,0.0011600248920556522,0.026073979454392115,14.0
50,주가위치,mid,1,0.01314520540406536,-0.026073821381784382,13.0
50,주가위치,mid,2,0.04958588764713733,0.010366860861287583,13.0
50,주가위치,mid,3,0.02338845468635044,-0.015830572099499306,14.0
50,주가위치,mid,4,0.04866311001710988,0.009444083231260138,13.0
50,주가위치,mid,5,0.06086512779678308,0.021646101010933335,14.0
50,주가위치,large,1,0.024597152162686698,-0.03357168821959121,13.0
50,주가위치,large,2,0.043155178494069066,-0.015013661888208841,13.0
50,주가위치,large,3,0.05083679040226143,-0.007332049980016481,14.0
50,주가위치,large,4,0.07833870201699307,0.020169861634715167,13.0
50,주가위치,large,5,0.09188670108730178,0.03371786070502386,14.0
50,talent,small,1,-0.042976857042752364,-0.018062902480415897,13.0
50,talent,small,2,-0.014807662354302293,0.010106292208034173,13.0
50,talent,small,3,-0.03599833568680524,-0.011084381124468775,13.0
50,talent,small,4,-0.017068599377952385,0.007845355184384081,13.0
50,talent,small,5,-0.014518006650760522,0.010395947911575942,14.0
50,talent,mid,1,0.04716338043862179,0.007944353652772048,13.0
50,talent,mid,2,0.052139249262340356,0.012920222476490613,13.0
50,talent,mid,3,0.05043401511138875,0.011214988325539006,14.0
50,talent,mid,4,0.04388186184665383,0.004662835060804085,13.0
50,talent,mid,5,0.004300013783820188,-0.034919013002029556,14.0
50,talent,large,1,0.04469812406803093,-0.013470716314246973,13.0
50,talent,large,2,0.03988724331909227,-0.01828159706318564,13.0
50,talent,large,3,0.06651585536678778,0.008347014984509871,14.0
50,talent,large,4,0.07450383592635355,0.01633499554407565,13.0
50,talent,large,5,0.06413790624302806,0.0059690658607501655,14.0
